Data,Time,Open,High,Low,Close,Voltick,Volume
2019.01.31,09:00,3685.00000,3685.00000,3673.00000,3676.50000,1674,3765
2019.01.31,09:01,3676.50000,3681.00000,3673.00000,3678.50000,1958,4579
2019.01.31,09:02,3678.50000,3682.50000,3676.00000,3680.50000,1962,4040
2019.01.31,09:03,3681.00000,3683.50000,3679.00000,3681.00000,1742,3692
2019.01.31,09:04,3680.50000,3684.50000,3680.00000,3683.50000,1378,2840
2019.01.31,09:05,3683.00000,3686.00000,3682.50000,3685.00000,1277,2569
2019.01.31,09:06,3685.00000,3687.00000,3684.00000,3684.50000,1685,5151
2019.01.31,09:07,3685.00000,3686.50000,3683.50000,3685.00000,1071,3471
2019.01.31,09:08,3685.00000,3685.50000,3683.50000,3684.00000,707,2369
2019.01.31,09:09,3684.50000,3686.00000,3684.00000,3684.50000,655,2083
2019.01.31,09:10,3684.50000,3686.50000,3684.00000,3685.50000,622,1931
2019.01.31,09:11,3685.50000,3686.50000,3685.50000,3686.00000,509,1708
2019.01.31,09:12,3686.50000,3688.50000,3685.50000,3686.50000,2083,5256
2019.01.31,09:13,3686.00000,3687.00000,3683.50000,3685.50000,1816,4673
2019.01.31,09:14,3685.50000,3686.50000,3684.50000,3684.50000,763,2418
2019.01.31,09:15,3685.00000,3685.50000,3684.00000,3685.00000,709,1976
2019.01.31,09:16,3684.50000,3685.00000,3680.50000,3681.00000,2731,6434
2019.01.31,09:17,3681.00000,3681.00000,3676.50000,3677.00000,2275,5914
2019.01.31,09:18,3677.00000,3678.50000,3675.00000,3675.50000,2180,6569
2019.01.31,09:19,3675.50000,3676.00000,3671.00000,3672.50000,3039,8711
2019.01.31,09:20,3672.50000,3674.50000,3671.50000,3674.00000,1497,4373
2019.01.31,09:21,3673.50000,3675.50000,3672.50000,3674.00000,913,2557
2019.01.31,09:22,3674.00000,3676.50000,3673.00000,3676.50000,1058,2837
2019.01.31,09:23,3676.50000,3676.50000,3670.50000,3672.50000,2236,6565
2019.01.31,09:24,3672.50000,3672.50000,3665.00000,3667.50000,5152,15835
2019.01.31,09:25,3667.00000,3668.00000,3664.00000,3664.50000,2718,8777
2019.01.31,09:26,3664.00000,3665.00000,3661.50000,3662.50000,2392,7970
2019.01.31,09:27,3663.00000,3664.00000,3662.00000,3663.50000,1531,4923
2019.01.31,09:28,3663.00000,3663.50000,3659.50000,3660.50000,1930,5706
2019.01.31,09:29,3660.50000,3664.50000,3659.00000,3664.50000,3464,11444
2019.01.31,09:30,3664.50000,3664.50000,3661.50000,3663.50000,1321,4000
2019.01.31,09:31,3663.50000,3665.00000,3663.00000,3665.00000,1104,3290
2019.01.31,09:32,3665.00000,3666.50000,3665.00000,3666.50000,1274,3670
2019.01.31,09:33,3666.50000,3667.00000,3665.50000,3666.50000,891,2608
2019.01.31,09:34,3666.50000,3667.00000,3662.00000,3662.50000,1707,5503
2019.01.31,09:35,3662.00000,3666.50000,3662.00000,3665.50000,1289,4000
2019.01.31,09:36,3665.00000,3667.00000,3665.00000,3667.00000,630,2213
2019.01.31,09:37,3667.00000,3668.00000,3666.50000,3667.50000,1097,3270
2019.01.31,09:38,3667.50000,3669.00000,3666.50000,3668.00000,1232,3121
2019.01.31,09:39,3667.50000,3668.50000,3667.50000,3668.50000,640,1946
2019.01.31,09:40,3668.50000,3669.00000,3667.50000,3668.00000,667,1738
2019.01.31,09:41,3668.00000,3671.00000,3666.50000,3669.50000,2827,8111
2019.01.31,09:42,3669.00000,3670.00000,3667.50000,3668.00000,1287,3640
2019.01.31,09:43,3668.00000,3670.50000,3667.50000,3670.00000,1149,4014
2019.01.31,09:44,3670.00000,3671.50000,3669.50000,3671.00000,1307,3178
2019.01.31,09:45,3671.50000,3671.50000,3669.00000,3670.00000,1128,3947
2019.01.31,09:46,3670.00000,3673.50000,3669.50000,3673.50000,1681,5384
2019.01.31,09:47,3673.00000,3674.50000,3673.00000,3673.00000,2120,5842
2019.01.31,09:48,3673.00000,3673.50000,3670.00000,3670.00000,1908,4533
2019.01.31,09:49,3670.00000,3670.50000,3667.00000,3667.50000,2256,5551
2019.01.31,09:50,3667.00000,3667.50000,3663.50000,3664.00000,2517,6947
2019.01.31,09:51,3664.00000,3666.00000,3663.00000,3664.00000,1882,5941
2019.01.31,09:52,3663.50000,3664.50000,3661.50000,3663.00000,1475,4270
2019.01.31,09:53,3663.00000,3663.00000,3661.00000,3661.50000,907,2661
2019.01.31,09:54,3661.50000,3662.00000,3659.50000,3661.00000,2330,7304
2019.01.31,09:55,3661.00000,3662.00000,3660.00000,3660.00000,1147,4365
2019.01.31,09:56,3660.00000,3661.50000,3659.50000,3661.50000,1012,3366
2019.01.31,09:57,3661.00000,3663.00000,3661.00000,3662.00000,1530,4373
2019.01.31,09:58,3662.00000,3662.00000,3658.00000,3661.50000,2675,7814
2019.01.31,09:59,3661.50000,3662.00000,3659.50000,3659.50000,1079,3559
2019.01.31,10:00,3659.50000,3660.00000,3654.00000,3657.50000,7518,25575
2019.01.31,10:01,3657.00000,3658.00000,3656.00000,3657.00000,1862,6250
2019.01.31,10:02,3657.00000,3658.00000,3655.50000,3657.50000,1352,4175
2019.01.31,10:03,3658.00000,3658.50000,3656.50000,3656.50000,1107,3894
2019.01.31,10:04,3657.00000,3658.00000,3652.50000,3654.50000,2153,6532
2019.01.31,10:05,3654.00000,3656.00000,3651.50000,3655.50000,3004,9231
2019.01.31,10:06,3655.50000,3656.00000,3654.00000,3655.50000,872,3029
2019.01.31,10:07,3655.00000,3658.00000,3653.50000,3657.50000,2185,8521
2019.01.31,10:08,3658.00000,3660.00000,3657.00000,3658.50000,1788,6622
2019.01.31,10:09,3659.00000,3660.50000,3658.50000,3660.00000,932,2997
2019.01.31,10:10,3660.00000,3663.50000,3660.00000,3662.00000,2452,7770
2019.01.31,10:11,3662.00000,3662.50000,3660.50000,3661.50000,870,2749
2019.01.31,10:12,3661.00000,3662.00000,3660.00000,3660.00000,983,3278
2019.01.31,10:13,3660.00000,3663.50000,3659.50000,3663.00000,1107,3255
2019.01.31,10:14,3663.00000,3663.00000,3661.00000,3662.00000,552,1795
2019.01.31,10:15,3662.00000,3663.00000,3659.50000,3660.00000,959,2754
2019.01.31,10:16,3660.00000,3660.00000,3657.50000,3658.00000,1793,5391
2019.01.31,10:17,3658.50000,3659.00000,3656.00000,3656.50000,1505,5396
2019.01.31,10:18,3656.50000,3658.00000,3656.00000,3657.50000,787,2390
2019.01.31,10:19,3658.00000,3660.00000,3657.00000,3660.00000,927,2276
2019.01.31,10:20,3660.00000,3660.00000,3656.50000,3658.00000,996,3147
2019.01.31,10:21,3658.50000,3658.50000,3656.00000,3656.00000,742,2458
2019.01.31,10:22,3656.00000,3658.00000,3655.00000,3655.50000,1507,5542
2019.01.31,10:23,3655.50000,3656.50000,3654.00000,3655.50000,1297,4746
2019.01.31,10:24,3655.50000,3656.00000,3654.00000,3655.00000,1247,4213
2019.01.31,10:25,3655.00000,3656.50000,3654.50000,3656.00000,841,3235
2019.01.31,10:26,3656.00000,3657.00000,3655.50000,3656.00000,472,1680
2019.01.31,10:27,3656.00000,3658.00000,3655.00000,3658.00000,958,3431
2019.01.31,10:28,3657.50000,3658.00000,3654.00000,3654.50000,1020,3833
2019.01.31,10:29,3655.00000,3656.00000,3654.50000,3655.00000,548,1875
2019.01.31,10:30,3655.50000,3655.50000,3652.50000,3654.50000,1334,3849
2019.01.31,10:31,3654.50000,3657.50000,3654.00000,3657.00000,1094,3651
2019.01.31,10:32,3657.00000,3659.50000,3656.50000,3657.50000,1384,4515
2019.01.31,10:33,3658.00000,3658.50000,3656.00000,3657.50000,878,3346
2019.01.31,10:34,3657.00000,3657.50000,3656.00000,3657.00000,604,2747
2019.01.31,10:35,3657.00000,3658.00000,3656.50000,3657.50000,465,1705
2019.01.31,10:36,3657.50000,3658.50000,3656.50000,3658.50000,304,958
2019.01.31,10:37,3658.00000,3658.50000,3656.50000,3657.00000,460,1608
2019.01.31,10:38,3656.50000,3657.00000,3655.50000,3656.50000,730,2537
2019.01.31,10:39,3656.50000,3657.50000,3654.00000,3655.00000,1045,3398
2019.01.31,10:40,3654.50000,3656.50000,3654.00000,3656.50000,557,1804
2019.01.31,10:41,3656.00000,3657.50000,3655.50000,3656.50000,562,1737
2019.01.31,10:42,3656.50000,3656.50000,3653.50000,3654.00000,1113,3744
2019.01.31,10:43,3654.00000,3654.00000,3650.50000,3652.50000,2821,8202
2019.01.31,10:44,3652.00000,3654.50000,3652.00000,3653.50000,1381,4706
2019.01.31,10:45,3653.50000,3656.00000,3653.50000,3656.00000,971,2832
2019.01.31,10:46,3656.00000,3657.00000,3655.00000,3655.50000,1093,3443
2019.01.31,10:47,3655.50000,3659.00000,3655.00000,3658.00000,1745,6201
2019.01.31,10:48,3658.50000,3660.00000,3657.50000,3658.50000,1730,5104
2019.01.31,10:49,3658.00000,3659.00000,3658.00000,3658.50000,721,2510
2019.01.31,10:50,3658.50000,3659.00000,3657.00000,3657.50000,794,2892
2019.01.31,10:51,3658.00000,3659.50000,3657.00000,3659.00000,942,4469
2019.01.31,10:52,3659.00000,3659.50000,3658.00000,3658.50000,578,2341
2019.01.31,10:53,3658.00000,3658.50000,3656.00000,3656.00000,803,2455
2019.01.31,10:54,3656.50000,3658.50000,3656.50000,3657.50000,537,1930
2019.01.31,10:55,3658.00000,3659.50000,3657.50000,3658.50000,748,3083
2019.01.31,10:56,3658.50000,3659.50000,3657.50000,3659.00000,564,2842
2019.01.31,10:57,3659.00000,3663.00000,3658.00000,3662.50000,2852,9048
2019.01.31,10:58,3662.50000,3664.50000,3661.50000,3662.50000,2793,9177
2019.01.31,10:59,3662.50000,3663.50000,3661.00000,3662.00000,1618,6246
2019.01.31,11:00,3662.00000,3662.00000,3660.00000,3660.50000,1078,3324
2019.01.31,11:01,3660.50000,3663.00000,3660.00000,3662.50000,1229,5381
2019.01.31,11:02,3662.00000,3663.00000,3660.50000,3661.50000,1290,6237
2019.01.31,11:03,3662.00000,3663.00000,3662.00000,3662.50000,1026,4046
2019.01.31,11:04,3662.50000,3664.50000,3661.50000,3664.50000,1411,5620
2019.01.31,11:05,3664.50000,3669.00000,3663.50000,3666.50000,4331,14041
2019.01.31,11:06,3667.00000,3667.00000,3665.00000,3666.00000,1069,3819
2019.01.31,11:07,3666.00000,3666.00000,3663.50000,3664.00000,1449,5190
2019.01.31,11:08,3664.00000,3664.50000,3662.00000,3664.50000,1299,4196
2019.01.31,11:09,3664.00000,3665.50000,3664.00000,3664.00000,1146,4479
2019.01.31,11:10,3664.00000,3665.50000,3663.50000,3665.00000,633,2710
2019.01.31,11:11,3665.00000,3666.50000,3663.50000,3663.50000,1229,4151
2019.01.31,11:12,3664.00000,3666.50000,3663.50000,3666.50000,497,1592
2019.01.31,11:13,3666.50000,3667.00000,3665.50000,3665.50000,815,2989
2019.01.31,11:14,3665.50000,3666.50000,3665.00000,3666.00000,399,1244
2019.01.31,11:15,3666.00000,3666.50000,3664.50000,3665.00000,706,2556
2019.01.31,11:16,3664.50000,3666.50000,3664.50000,3665.00000,507,1614
2019.01.31,11:17,3665.00000,3665.50000,3662.00000,3664.00000,1769,5809
2019.01.31,11:18,3663.50000,3664.00000,3662.00000,3662.50000,554,1653
2019.01.31,11:19,3663.00000,3663.50000,3660.00000,3661.00000,1812,5179
2019.01.31,11:20,3660.50000,3662.00000,3659.50000,3660.50000,1619,5054
2019.01.31,11:21,3661.00000,3662.50000,3660.00000,3661.00000,1014,2980
2019.01.31,11:22,3661.50000,3661.50000,3659.50000,3660.50000,814,2328
2019.01.31,11:23,3660.50000,3660.50000,3659.50000,3660.00000,495,1537
2019.01.31,11:24,3659.50000,3660.50000,3659.50000,3660.00000,337,980
2019.01.31,11:25,3660.00000,3661.50000,3659.50000,3661.00000,508,1258
2019.01.31,11:26,3660.50000,3662.00000,3660.00000,3660.50000,563,1687
2019.01.31,11:27,3660.50000,3660.50000,3658.50000,3660.00000,834,2128
2019.01.31,11:28,3660.00000,3661.50000,3659.50000,3661.00000,379,761
2019.01.31,11:29,3661.00000,3663.00000,3661.00000,3662.50000,864,2137
2019.01.31,11:30,3662.00000,3663.00000,3660.00000,3661.50000,663,2157
2019.01.31,11:31,3662.00000,3665.00000,3661.50000,3664.00000,1194,3819
2019.01.31,11:32,3664.00000,3664.00000,3661.00000,3662.50000,977,2933
2019.01.31,11:33,3662.50000,3664.00000,3660.50000,3662.50000,1255,4747
2019.01.31,11:34,3662.50000,3664.50000,3662.50000,3663.00000,937,3260
2019.01.31,11:35,3663.00000,3663.50000,3660.50000,3662.00000,1323,4599
2019.01.31,11:36,3662.00000,3662.00000,3659.00000,3660.00000,1393,4348
2019.01.31,11:37,3660.00000,3661.50000,3659.50000,3660.50000,734,2477
2019.01.31,11:38,3660.50000,3661.50000,3660.50000,3661.00000,490,1776
2019.01.31,11:39,3661.00000,3663.50000,3660.50000,3661.50000,1017,3816
2019.01.31,11:40,3661.50000,3663.50000,3661.50000,3662.00000,760,2967
2019.01.31,11:41,3662.00000,3662.50000,3660.00000,3660.00000,702,2124
2019.01.31,11:42,3660.50000,3661.50000,3660.00000,3661.00000,264,989
2019.01.31,11:43,3661.00000,3661.50000,3660.00000,3661.00000,274,807
2019.01.31,11:44,3661.00000,3661.00000,3659.00000,3659.50000,827,3151
