Data,Time,Open,High,Low,Close,Voltick,Volume
2018.12.12,09:00,87880.00000,88030.00000,87815.00000,87845.00000,711,2032
2018.12.12,09:01,87865.00000,87995.00000,87830.00000,87860.00000,2753,8768
2018.12.12,09:02,87860.00000,87860.00000,87785.00000,87830.00000,1509,3736
2018.12.12,09:03,87830.00000,87880.00000,87800.00000,87875.00000,1326,3621
2018.12.12,09:04,87870.00000,87880.00000,87845.00000,87865.00000,611,1632
2018.12.12,09:05,87855.00000,87865.00000,87790.00000,87810.00000,1316,3925
2018.12.12,09:06,87815.00000,87840.00000,87770.00000,87780.00000,1664,3883
2018.12.12,09:07,87780.00000,87865.00000,87750.00000,87835.00000,2040,4732
2018.12.12,09:08,87830.00000,87845.00000,87785.00000,87825.00000,1148,2716
2018.12.12,09:09,87820.00000,87830.00000,87780.00000,87805.00000,1109,2843
2018.12.12,09:10,87800.00000,87835.00000,87775.00000,87810.00000,1299,2946
2018.12.12,09:11,87815.00000,87925.00000,87805.00000,87905.00000,2522,6314
2018.12.12,09:12,87905.00000,87920.00000,87880.00000,87905.00000,844,1829
2018.12.12,09:13,87905.00000,87925.00000,87895.00000,87920.00000,849,2296
2018.12.12,09:14,87920.00000,87955.00000,87900.00000,87935.00000,1348,3663
2018.12.12,09:15,87935.00000,87980.00000,87910.00000,87965.00000,2069,5463
2018.12.12,09:16,87965.00000,87980.00000,87945.00000,87975.00000,1053,2934
2018.12.12,09:17,87975.00000,88020.00000,87960.00000,88015.00000,2173,5371
2018.12.12,09:18,88015.00000,88020.00000,87975.00000,87985.00000,1177,3034
2018.12.12,09:19,87985.00000,88000.00000,87970.00000,87980.00000,678,1487
2018.12.12,09:20,87975.00000,87995.00000,87960.00000,87985.00000,927,2180
2018.12.12,09:21,87985.00000,87995.00000,87950.00000,87970.00000,931,2222
2018.12.12,09:22,87980.00000,88060.00000,87955.00000,88060.00000,2552,6359
2018.12.12,09:23,88060.00000,88085.00000,88040.00000,88070.00000,2167,5140
2018.12.12,09:24,88065.00000,88075.00000,88000.00000,88035.00000,2093,5223
2018.12.12,09:25,88030.00000,88055.00000,87990.00000,88055.00000,1740,4642
2018.12.12,09:26,88050.00000,88145.00000,88050.00000,88120.00000,3624,8984
2018.12.12,09:27,88125.00000,88160.00000,88095.00000,88115.00000,2874,8029
2018.12.12,09:28,88120.00000,88160.00000,88100.00000,88160.00000,1178,2712
2018.12.12,09:29,88155.00000,88175.00000,88120.00000,88140.00000,1572,4104
2018.12.12,09:30,88140.00000,88155.00000,88110.00000,88130.00000,1455,4240
2018.12.12,09:31,88130.00000,88160.00000,88120.00000,88125.00000,967,2682
2018.12.12,09:32,88130.00000,88140.00000,88100.00000,88100.00000,1167,2783
2018.12.12,09:33,88110.00000,88140.00000,88085.00000,88095.00000,1976,5201
2018.12.12,09:34,88095.00000,88120.00000,88090.00000,88115.00000,643,1283
2018.12.12,09:35,88110.00000,88150.00000,88105.00000,88140.00000,1145,3283
2018.12.12,09:36,88135.00000,88150.00000,88045.00000,88075.00000,2997,8449
2018.12.12,09:37,88075.00000,88090.00000,88035.00000,88060.00000,1732,4354
2018.12.12,09:38,88060.00000,88060.00000,88010.00000,88045.00000,2026,4842
2018.12.12,09:39,88045.00000,88070.00000,88030.00000,88055.00000,964,2471
2018.12.12,09:40,88055.00000,88060.00000,88010.00000,88050.00000,998,2622
2018.12.12,09:41,88050.00000,88105.00000,88045.00000,88065.00000,1898,5126
2018.12.12,09:42,88065.00000,88100.00000,88060.00000,88090.00000,1074,2697
2018.12.12,09:43,88095.00000,88130.00000,88085.00000,88125.00000,1464,3709
2018.12.12,09:44,88125.00000,88160.00000,88095.00000,88110.00000,2231,5792
2018.12.12,09:45,88110.00000,88115.00000,88045.00000,88070.00000,1974,5269
2018.12.12,09:46,88075.00000,88080.00000,88045.00000,88065.00000,753,2163
2018.12.12,09:47,88065.00000,88110.00000,88055.00000,88100.00000,1025,2743
2018.12.12,09:48,88105.00000,88125.00000,88090.00000,88105.00000,1187,3151
2018.12.12,09:49,88100.00000,88125.00000,88080.00000,88120.00000,677,1647
2018.12.12,09:50,88115.00000,88125.00000,88090.00000,88090.00000,828,2601
2018.12.12,09:51,88100.00000,88105.00000,88025.00000,88040.00000,2604,6722
2018.12.12,09:52,88040.00000,88040.00000,87945.00000,87980.00000,5101,12129
2018.12.12,09:53,87980.00000,88010.00000,87935.00000,87945.00000,2123,5079
2018.12.12,09:54,87945.00000,87975.00000,87850.00000,87880.00000,3943,10092
2018.12.12,09:55,87880.00000,87955.00000,87865.00000,87920.00000,3719,9641
2018.12.12,09:56,87915.00000,87960.00000,87895.00000,87935.00000,1882,5311
2018.12.12,09:57,87935.00000,87960.00000,87925.00000,87950.00000,778,2119
2018.12.12,09:58,87955.00000,87970.00000,87940.00000,87960.00000,975,2275
2018.12.12,09:59,87960.00000,88035.00000,87960.00000,88020.00000,2859,8361
