Data,Time,Open,High,Low,Close,Voltick,Volume
2019.02.13,09:00,97295.00000,97460.00000,97110.00000,97335.00000,2004,6505
2019.02.13,09:01,97350.00000,97435.00000,97225.00000,97290.00000,3352,8569
2019.02.13,09:02,97285.00000,97395.00000,97280.00000,97360.00000,1354,3709
2019.02.13,09:03,97360.00000,97370.00000,97100.00000,97135.00000,4290,10305
2019.02.13,09:04,97140.00000,97250.00000,97135.00000,97215.00000,2991,7030
2019.02.13,09:05,97220.00000,97250.00000,97190.00000,97225.00000,1815,4006
2019.02.13,09:06,97225.00000,97285.00000,97210.00000,97260.00000,2135,5754
2019.02.13,09:07,97255.00000,97290.00000,97240.00000,97240.00000,1167,2844
2019.02.13,09:08,97240.00000,97325.00000,97235.00000,97270.00000,2119,6331
2019.02.13,09:09,97270.00000,97315.00000,97240.00000,97280.00000,1383,3931
2019.02.13,09:10,97280.00000,97345.00000,97280.00000,97330.00000,1670,4520
2019.02.13,09:11,97325.00000,97345.00000,97305.00000,97330.00000,848,2855
2019.02.13,09:12,97330.00000,97425.00000,97320.00000,97410.00000,2570,9046
2019.02.13,09:13,97410.00000,97530.00000,97410.00000,97525.00000,3828,14303
2019.02.13,09:14,97530.00000,97620.00000,97520.00000,97565.00000,4385,19483
2019.02.13,09:15,97570.00000,97630.00000,97560.00000,97595.00000,2598,9543
2019.02.13,09:16,97590.00000,97595.00000,97535.00000,97545.00000,2890,10131
2019.02.13,09:17,97550.00000,97560.00000,97515.00000,97540.00000,1682,5108
2019.02.13,09:18,97545.00000,97545.00000,97490.00000,97505.00000,2154,7808
2019.02.13,09:19,97505.00000,97515.00000,97460.00000,97475.00000,1734,5529
2019.02.13,09:20,97475.00000,97530.00000,97440.00000,97510.00000,3332,10635
2019.02.13,09:21,97510.00000,97545.00000,97475.00000,97505.00000,2073,6050
2019.02.13,09:22,97505.00000,97525.00000,97475.00000,97515.00000,969,2957
2019.02.13,09:23,97515.00000,97520.00000,97485.00000,97500.00000,700,2204
2019.02.13,09:24,97500.00000,97510.00000,97480.00000,97495.00000,770,2465
2019.02.13,09:25,97500.00000,97505.00000,97475.00000,97495.00000,718,2664
2019.02.13,09:26,97500.00000,97540.00000,97485.00000,97495.00000,1577,4721
2019.02.13,09:27,97490.00000,97540.00000,97490.00000,97530.00000,623,1831
2019.02.13,09:28,97540.00000,97560.00000,97515.00000,97535.00000,1986,5602
2019.02.13,09:29,97535.00000,97580.00000,97515.00000,97540.00000,1702,6453
2019.02.13,09:30,97545.00000,97545.00000,97495.00000,97510.00000,1464,4264
2019.02.13,09:31,97505.00000,97520.00000,97485.00000,97500.00000,1285,3970
2019.02.13,09:32,97505.00000,97555.00000,97500.00000,97545.00000,1006,3023
2019.02.13,09:33,97540.00000,97570.00000,97520.00000,97545.00000,1147,3714
2019.02.13,09:34,97540.00000,97550.00000,97510.00000,97525.00000,946,3459
2019.02.13,09:35,97525.00000,97555.00000,97510.00000,97515.00000,893,2964
2019.02.13,09:36,97510.00000,97545.00000,97505.00000,97540.00000,507,2025
2019.02.13,09:37,97540.00000,97570.00000,97510.00000,97520.00000,1481,4125
2019.02.13,09:38,97515.00000,97550.00000,97495.00000,97535.00000,1529,5094
2019.02.13,09:39,97540.00000,97540.00000,97485.00000,97490.00000,1169,4215
2019.02.13,09:40,97485.00000,97495.00000,97410.00000,97470.00000,5822,16660
2019.02.13,09:41,97465.00000,97490.00000,97460.00000,97480.00000,2269,7035
2019.02.13,09:42,97480.00000,97515.00000,97460.00000,97490.00000,2011,6757
2019.02.13,09:43,97495.00000,97505.00000,97430.00000,97430.00000,2051,7288
2019.02.13,09:44,97435.00000,97440.00000,97410.00000,97415.00000,2116,7812
2019.02.13,09:45,97415.00000,97450.00000,97405.00000,97420.00000,2048,6382
2019.02.13,09:46,97415.00000,97470.00000,97415.00000,97465.00000,1659,5918
2019.02.13,09:47,97465.00000,97495.00000,97435.00000,97485.00000,2787,9951
2019.02.13,09:48,97490.00000,97500.00000,97460.00000,97470.00000,1996,5894
2019.02.13,09:49,97475.00000,97490.00000,97470.00000,97480.00000,746,2702
2019.02.13,09:50,97485.00000,97620.00000,97485.00000,97600.00000,7032,19797
2019.02.13,09:51,97600.00000,97675.00000,97595.00000,97660.00000,6216,19388
2019.02.13,09:52,97665.00000,97670.00000,97605.00000,97615.00000,2741,10302
2019.02.13,09:53,97615.00000,97690.00000,97605.00000,97655.00000,3142,9865
2019.02.13,09:54,97650.00000,97680.00000,97625.00000,97650.00000,2067,5846
2019.02.13,09:55,97660.00000,97740.00000,97640.00000,97730.00000,5268,13908
2019.02.13,09:56,97730.00000,97730.00000,97665.00000,97690.00000,2696,7991
2019.02.13,09:57,97690.00000,97735.00000,97685.00000,97710.00000,1957,5917
2019.02.13,09:58,97715.00000,97745.00000,97700.00000,97725.00000,2054,6084
2019.02.13,09:59,97730.00000,97765.00000,97710.00000,97715.00000,2881,8292
2019.02.13,10:00,97715.00000,97730.00000,97590.00000,97600.00000,6786,20941
2019.02.13,10:01,97600.00000,97605.00000,97520.00000,97535.00000,5264,16798
2019.02.13,10:02,97535.00000,97580.00000,97520.00000,97545.00000,3333,11238
2019.02.13,10:03,97545.00000,97575.00000,97500.00000,97515.00000,2754,8408
2019.02.13,10:04,97515.00000,97615.00000,97510.00000,97560.00000,4169,12048
2019.02.13,10:05,97560.00000,97600.00000,97540.00000,97570.00000,2309,6841
2019.02.13,10:06,97565.00000,97625.00000,97565.00000,97600.00000,2676,7844
2019.02.13,10:07,97600.00000,97620.00000,97585.00000,97595.00000,1399,5340
2019.02.13,10:08,97595.00000,97645.00000,97590.00000,97620.00000,2073,6667
2019.02.13,10:09,97620.00000,97685.00000,97620.00000,97685.00000,2384,7398
2019.02.13,10:10,97680.00000,97715.00000,97620.00000,97685.00000,4898,16023
2019.02.13,10:11,97685.00000,97690.00000,97625.00000,97640.00000,2176,7310
2019.02.13,10:12,97635.00000,97635.00000,97570.00000,97610.00000,3843,11991
2019.02.13,10:13,97615.00000,97620.00000,97565.00000,97580.00000,1749,5329
2019.02.13,10:14,97580.00000,97605.00000,97555.00000,97575.00000,1721,5153
2019.02.13,10:15,97575.00000,97585.00000,97525.00000,97535.00000,3843,11193
2019.02.13,10:16,97540.00000,97575.00000,97510.00000,97520.00000,3360,11081
2019.02.13,10:17,97520.00000,97530.00000,97460.00000,97490.00000,5412,17646
2019.02.13,10:18,97490.00000,97565.00000,97490.00000,97550.00000,2799,8742
2019.02.13,10:19,97550.00000,97610.00000,97545.00000,97590.00000,3880,11468
2019.02.13,10:20,97590.00000,97630.00000,97560.00000,97595.00000,3539,11164
2019.02.13,10:21,97600.00000,97670.00000,97595.00000,97665.00000,3040,9905
2019.02.13,10:22,97665.00000,97670.00000,97600.00000,97635.00000,2807,10395
2019.02.13,10:23,97635.00000,97685.00000,97625.00000,97675.00000,2592,8461
2019.02.13,10:24,97675.00000,97760.00000,97675.00000,97715.00000,6690,21964
2019.02.13,10:25,97720.00000,97740.00000,97605.00000,97625.00000,5804,19387
2019.02.13,10:26,97625.00000,97635.00000,97555.00000,97580.00000,4132,14046
2019.02.13,10:27,97580.00000,97585.00000,97520.00000,97540.00000,2880,9010
2019.02.13,10:28,97535.00000,97560.00000,97415.00000,97430.00000,6469,20303
2019.02.13,10:29,97425.00000,97435.00000,97340.00000,97390.00000,9339,28374
2019.02.13,10:30,97390.00000,97410.00000,97280.00000,97360.00000,7884,24025
2019.02.13,10:31,97360.00000,97365.00000,97260.00000,97290.00000,4580,13865
2019.02.13,10:32,97290.00000,97335.00000,97195.00000,97200.00000,6130,19721
2019.02.13,10:33,97205.00000,97225.00000,97135.00000,97195.00000,6161,20666
2019.02.13,10:34,97190.00000,97240.00000,97165.00000,97210.00000,3590,11987
2019.02.13,10:35,97205.00000,97295.00000,97180.00000,97260.00000,5148,16757
2019.02.13,10:36,97265.00000,97320.00000,97230.00000,97315.00000,3481,11542
2019.02.13,10:37,97320.00000,97340.00000,97230.00000,97235.00000,4050,13338
2019.02.13,10:38,97235.00000,97330.00000,97220.00000,97285.00000,3731,13487
2019.02.13,10:39,97290.00000,97300.00000,97240.00000,97250.00000,2046,8038
2019.02.13,10:40,97245.00000,97305.00000,97240.00000,97295.00000,2261,7407
2019.02.13,10:41,97295.00000,97330.00000,97240.00000,97245.00000,3122,11771
2019.02.13,10:42,97250.00000,97290.00000,97220.00000,97240.00000,2912,9371
2019.02.13,10:43,97235.00000,97365.00000,97225.00000,97320.00000,5014,16782
2019.02.13,10:44,97320.00000,97330.00000,97265.00000,97280.00000,2145,7540
2019.02.13,10:45,97280.00000,97340.00000,97270.00000,97315.00000,3213,10954
2019.02.13,10:46,97315.00000,97365.00000,97315.00000,97355.00000,2558,8357
2019.02.13,10:47,97360.00000,97385.00000,97315.00000,97355.00000,2653,8326
2019.02.13,10:48,97355.00000,97405.00000,97355.00000,97400.00000,2586,9070
2019.02.13,10:49,97400.00000,97440.00000,97360.00000,97395.00000,4219,13960
2019.02.13,10:50,97390.00000,97410.00000,97320.00000,97325.00000,3249,11030
2019.02.13,10:51,97325.00000,97385.00000,97320.00000,97380.00000,2759,10000
2019.02.13,10:52,97380.00000,97380.00000,97345.00000,97360.00000,1041,3794
2019.02.13,10:53,97365.00000,97390.00000,97345.00000,97380.00000,1112,4342
2019.02.13,10:54,97385.00000,97385.00000,97300.00000,97310.00000,2512,8905
2019.02.13,10:55,97315.00000,97335.00000,97260.00000,97285.00000,3873,12650
2019.02.13,10:56,97280.00000,97345.00000,97280.00000,97345.00000,2350,7808
2019.02.13,10:57,97345.00000,97350.00000,97325.00000,97345.00000,1157,4399
2019.02.13,10:58,97350.00000,97390.00000,97345.00000,97380.00000,2295,7775
2019.02.13,10:59,97380.00000,97400.00000,97340.00000,97400.00000,2131,7244
2019.02.13,11:00,97400.00000,97505.00000,97400.00000,97470.00000,8480,25956
2019.02.13,11:01,97470.00000,97490.00000,97435.00000,97475.00000,2604,8163
2019.02.13,11:02,97480.00000,97550.00000,97470.00000,97515.00000,4753,13944
2019.02.13,11:03,97515.00000,97575.00000,97495.00000,97510.00000,4810,16722
2019.02.13,11:04,97510.00000,97520.00000,97415.00000,97445.00000,4511,14784
2019.02.13,11:05,97445.00000,97470.00000,97365.00000,97380.00000,4593,14801
2019.02.13,11:06,97385.00000,97410.00000,97330.00000,97375.00000,5240,18105
