Data,Time,Open,High,Low,Close,Voltick,Volume
2018.10.17,09:00,86300.00000,86350.00000,86100.00000,86300.00000,987,3326
2018.10.17,09:01,86295.00000,86330.00000,86115.00000,86195.00000,2125,5473
2018.10.17,09:02,86210.00000,86225.00000,86130.00000,86185.00000,1272,2884
2018.10.17,09:03,86185.00000,86185.00000,86050.00000,86085.00000,2297,6151
2018.10.17,09:04,86085.00000,86095.00000,86030.00000,86075.00000,1308,3115
2018.10.17,09:05,86070.00000,86165.00000,86050.00000,86130.00000,2563,5807
2018.10.17,09:06,86135.00000,86215.00000,86110.00000,86180.00000,2433,5843
2018.10.17,09:07,86185.00000,86200.00000,86045.00000,86190.00000,3209,9422
2018.10.17,09:08,86190.00000,86245.00000,86165.00000,86210.00000,1971,4729
2018.10.17,09:09,86210.00000,86220.00000,86140.00000,86200.00000,1561,3964
2018.10.17,09:10,86195.00000,86200.00000,86105.00000,86115.00000,1308,3935
2018.10.17,09:11,86110.00000,86115.00000,86055.00000,86060.00000,1385,4423
2018.10.17,09:12,86055.00000,86060.00000,85925.00000,85955.00000,4750,13068
2018.10.17,09:13,85955.00000,85985.00000,85925.00000,85935.00000,1731,5003
2018.10.17,09:14,85930.00000,85935.00000,85865.00000,85875.00000,2686,8606
2018.10.17,09:15,85875.00000,85905.00000,85820.00000,85850.00000,3170,9034
2018.10.17,09:16,85850.00000,85875.00000,85825.00000,85840.00000,1401,4322
2018.10.17,09:17,85835.00000,85865.00000,85810.00000,85825.00000,1838,4773
2018.10.17,09:18,85820.00000,85860.00000,85815.00000,85840.00000,1102,2679
2018.10.17,09:19,85840.00000,85930.00000,85825.00000,85920.00000,3251,8090
2018.10.17,09:20,85920.00000,85980.00000,85915.00000,85925.00000,3383,9868
2018.10.17,09:21,85925.00000,85955.00000,85875.00000,85925.00000,2940,9272
2018.10.17,09:22,85930.00000,85995.00000,85925.00000,85990.00000,2244,6399
2018.10.17,09:23,85995.00000,86010.00000,85960.00000,86005.00000,1961,5744
2018.10.17,09:24,86010.00000,86015.00000,85935.00000,85945.00000,3667,12766
2018.10.17,09:25,85945.00000,85995.00000,85925.00000,85925.00000,1833,5997
2018.10.17,09:26,85925.00000,85960.00000,85910.00000,85925.00000,1915,5882
2018.10.17,09:27,85925.00000,85980.00000,85895.00000,85920.00000,2320,6828
2018.10.17,09:28,85920.00000,86000.00000,85915.00000,85970.00000,1637,5311
2018.10.17,09:29,85975.00000,85980.00000,85940.00000,85965.00000,564,1506
2018.10.17,09:30,85960.00000,85975.00000,85925.00000,85930.00000,1078,3202
2018.10.17,09:31,85930.00000,85960.00000,85925.00000,85935.00000,1190,3459
2018.10.17,09:32,85935.00000,85975.00000,85925.00000,85930.00000,1087,2884
2018.10.17,09:33,85935.00000,85990.00000,85925.00000,85945.00000,1673,4380
2018.10.17,09:34,85945.00000,85970.00000,85930.00000,85935.00000,1431,4844
2018.10.17,09:35,85935.00000,85965.00000,85925.00000,85940.00000,1063,3325
2018.10.17,09:36,85935.00000,85970.00000,85930.00000,85945.00000,1091,4434
2018.10.17,09:37,85950.00000,85965.00000,85935.00000,85940.00000,800,2570
2018.10.17,09:38,85940.00000,85960.00000,85935.00000,85940.00000,407,1635
2018.10.17,09:39,85940.00000,85960.00000,85930.00000,85945.00000,698,2508
2018.10.17,09:40,85950.00000,85990.00000,85940.00000,85980.00000,1044,3321
2018.10.17,09:41,85985.00000,86060.00000,85980.00000,85990.00000,5362,13369
2018.10.17,09:42,85995.00000,86000.00000,85935.00000,85935.00000,1884,5726
2018.10.17,09:43,85940.00000,85945.00000,85835.00000,85900.00000,6274,16657
2018.10.17,09:44,85900.00000,85905.00000,85875.00000,85885.00000,1196,3302
2018.10.17,09:45,85885.00000,85940.00000,85875.00000,85930.00000,1386,4735
2018.10.17,09:46,85935.00000,85975.00000,85920.00000,85965.00000,1706,6068
2018.10.17,09:47,85960.00000,86030.00000,85925.00000,85930.00000,3901,11153
2018.10.17,09:48,85930.00000,85975.00000,85925.00000,85945.00000,1312,4646
2018.10.17,09:49,85945.00000,85965.00000,85935.00000,85950.00000,443,1374
2018.10.17,09:50,85950.00000,85985.00000,85890.00000,85910.00000,2146,6858
2018.10.17,09:51,85915.00000,85940.00000,85880.00000,85910.00000,1546,5078
2018.10.17,09:52,85915.00000,85955.00000,85900.00000,85915.00000,1078,3629
2018.10.17,09:53,85920.00000,85930.00000,85900.00000,85900.00000,605,2174
2018.10.17,09:54,85900.00000,85925.00000,85880.00000,85910.00000,1112,4172
2018.10.17,09:55,85910.00000,85930.00000,85895.00000,85895.00000,804,2812
2018.10.17,09:56,85895.00000,85930.00000,85895.00000,85910.00000,965,3080
2018.10.17,09:57,85910.00000,85920.00000,85885.00000,85910.00000,850,2670
2018.10.17,09:58,85905.00000,85920.00000,85875.00000,85885.00000,1521,5188
2018.10.17,09:59,85885.00000,85910.00000,85855.00000,85860.00000,2222,7572
2018.10.17,10:00,85855.00000,85915.00000,85855.00000,85895.00000,1716,5298
2018.10.17,10:01,85895.00000,85900.00000,85875.00000,85880.00000,1135,3490
2018.10.17,10:02,85880.00000,85905.00000,85880.00000,85890.00000,756,2189
2018.10.17,10:03,85890.00000,85940.00000,85880.00000,85895.00000,2579,8126
2018.10.17,10:04,85900.00000,86005.00000,85895.00000,85920.00000,4942,15921
2018.10.17,10:05,85925.00000,85945.00000,85890.00000,85895.00000,1772,5486
2018.10.17,10:06,85895.00000,85905.00000,85755.00000,85775.00000,8054,24472
2018.10.17,10:07,85775.00000,85790.00000,85740.00000,85770.00000,2961,8985
2018.10.17,10:08,85770.00000,85825.00000,85745.00000,85790.00000,2703,8945
2018.10.17,10:09,85790.00000,85880.00000,85755.00000,85860.00000,3875,12057
2018.10.17,10:10,85850.00000,86000.00000,85835.00000,85945.00000,5016,15084
2018.10.17,10:11,85945.00000,86050.00000,85945.00000,86040.00000,4967,15761
2018.10.17,10:12,86040.00000,86140.00000,85985.00000,86000.00000,7942,22662
2018.10.17,10:13,85995.00000,86005.00000,85910.00000,85925.00000,4105,12302
2018.10.17,10:14,85920.00000,86025.00000,85910.00000,86010.00000,2735,8679
2018.10.17,10:15,86010.00000,86105.00000,85950.00000,85970.00000,5483,16085
2018.10.17,10:16,85970.00000,86015.00000,85900.00000,85965.00000,4247,12618
2018.10.17,10:17,85960.00000,86060.00000,85915.00000,86010.00000,2763,10195
2018.10.17,10:18,86010.00000,86010.00000,85885.00000,85915.00000,3677,12419
2018.10.17,10:19,85910.00000,85950.00000,85845.00000,85890.00000,3911,11922
2018.10.17,10:20,85885.00000,85900.00000,85845.00000,85860.00000,2568,8072
2018.10.17,10:21,85860.00000,85860.00000,85780.00000,85800.00000,3540,9995
2018.10.17,10:22,85800.00000,85815.00000,85780.00000,85790.00000,1478,4459
2018.10.17,10:23,85790.00000,85825.00000,85755.00000,85820.00000,2596,7994
2018.10.17,10:24,85820.00000,85895.00000,85780.00000,85805.00000,3773,11690
2018.10.17,10:25,85805.00000,85830.00000,85770.00000,85785.00000,1927,6121
2018.10.17,10:26,85785.00000,85820.00000,85770.00000,85820.00000,1129,4249
2018.10.17,10:27,85820.00000,85850.00000,85745.00000,85765.00000,4167,13537
2018.10.17,10:28,85770.00000,85915.00000,85755.00000,85905.00000,2869,9100
2018.10.17,10:29,85910.00000,85915.00000,85835.00000,85900.00000,2422,8329
2018.10.17,10:30,85895.00000,85900.00000,85795.00000,85830.00000,2917,9573
2018.10.17,10:31,85835.00000,85855.00000,85780.00000,85785.00000,3045,11057
2018.10.17,10:32,85790.00000,85840.00000,85765.00000,85810.00000,2519,7875
2018.10.17,10:33,85805.00000,85810.00000,85710.00000,85780.00000,6406,23287
2018.10.17,10:34,85785.00000,85865.00000,85715.00000,85725.00000,4845,14943
2018.10.17,10:35,85720.00000,85770.00000,85670.00000,85715.00000,6353,20156
2018.10.17,10:36,85715.00000,85735.00000,85645.00000,85650.00000,4478,13952
2018.10.17,10:37,85655.00000,85725.00000,85645.00000,85720.00000,3494,11928
2018.10.17,10:38,85715.00000,85740.00000,85655.00000,85680.00000,2736,9145
2018.10.17,10:39,85680.00000,85705.00000,85645.00000,85660.00000,2345,7384
2018.10.17,10:40,85655.00000,85840.00000,85650.00000,85820.00000,5830,17906
2018.10.17,10:41,85825.00000,85830.00000,85775.00000,85825.00000,2855,8334
2018.10.17,10:42,85825.00000,85840.00000,85795.00000,85805.00000,1696,5699
2018.10.17,10:43,85805.00000,85875.00000,85715.00000,85870.00000,4913,14686
